Company Name,Lower Employee Count,Upper Employee Count,Business Area,Founded Year
آدلاس,11,50,کامپیوتر، فناوری اطلاعات و اینترنت,N/A
کارگزاری هامرز,11,50,مالی و اعتباری,N/A
درنیکا,51,200,کامپیوتر، فناوری اطلاعات و اینترنت,N/A
نتواریوم,11,50,کامپیوتر، فناوری اطلاعات و اینترنت,N/A
سفرهای کیش,501,1000,گردشگری و هتل‌ها,N/A
مرکز گسترش اینترنت اشیا ایران,51,200,کامپیوتر، فناوری اطلاعات و اینترنت,N/A
مینی کالا,51,200,کامپیوتر، فناوری اطلاعات و اینترنت,N/A
بهینه سازان سرزمین هوشمند,51,200,کامپیوتر، فناوری اطلاعات و اینترنت,N/A
ماد امواج آریا,51,200,واردات و صادرات,N/A
آرکا تجارت,51,200,تولید و صنایع,N/A
موسسه آرمان پرشین خاورمیانه,51,200,آموزش، مدارس و دانشگاه‌ها,N/A
دیجیتون,11,50,کامپیوتر، فناوری اطلاعات و اینترنت,N/A
بامن,51,200,کامپیوتر، فناوری اطلاعات و اینترنت,N/A
اسنپ شاپ,201,500,کامپیوتر، فناوری اطلاعات و اینترنت,N/A
افرادرب,51,200,تولید و صنایع,N/A
بیت برگ,51,200,کامپیوتر، فناوری اطلاعات و اینترنت,N/A
Company Name,Lower Employee Count,Upper Employee Count,Business Area,Founded Year
کارگزاری هامرز,11,50,مالی و اعتباری,N/A
مینی کالا,51,200,کامپیوتر، فناوری اطلاعات و اینترنت,N/A
نتواریوم,11,50,کامپیوتر، فناوری اطلاعات و اینترنت,N/A
آدلاس,11,50,کامپیوتر، فناوری اطلاعات و اینترنت,N/A
مرکز گسترش اینترنت اشیا ایران,51,200,کامپیوتر، فناوری اطلاعات و اینترنت,N/A
درنیکا,51,200,کامپیوتر، فناوری اطلاعات و اینترنت,N/A
سفرهای کیش,501,1000,گردشگری و هتل‌ها,N/A
بهینه سازان سرزمین هوشمند,51,200,کامپیوتر، فناوری اطلاعات و اینترنت,N/A
دیجیتون,11,50,کامپیوتر، فناوری اطلاعات و اینترنت,N/A
بامن,51,200,کامپیوتر، فناوری اطلاعات و اینترنت,N/A
اسنپ شاپ,201,500,کامپیوتر، فناوری اطلاعات و اینترنت,N/A
بیت برگ,51,200,کامپیوتر، فناوری اطلاعات و اینترنت,N/A
افرادرب,51,200,تولید و صنایع,N/A
موسسه آرمان پرشین خاورمیانه,51,200,آموزش، مدارس و دانشگاه‌ها,N/A
آرکا تجارت,51,200,تولید و صنایع,N/A
ماد امواج آریا,51,200,واردات و صادرات,N/A
Company Name,Lower Employee Count,Upper Employee Count,Business Area,Founded Year
نتواریوم,11,50,کامپیوتر، فناوری اطلاعات و اینترنت,N/A
سفرهای کیش,501,1000,گردشگری و هتل‌ها,N/A
درنیکا,51,200,کامپیوتر، فناوری اطلاعات و اینترنت,N/A
کارگزاری هامرز,11,50,مالی و اعتباری,N/A
مینی کالا,51,200,کامپیوتر، فناوری اطلاعات و اینترنت,N/A
مرکز گسترش اینترنت اشیا ایران,51,200,کامپیوتر، فناوری اطلاعات و اینترنت,N/A
آدلاس,11,50,کامپیوتر، فناوری اطلاعات و اینترنت,N/A
بهینه سازان سرزمین هوشمند,51,200,کامپیوتر، فناوری اطلاعات و اینترنت,N/A
بامن,51,200,کامپیوتر، فناوری اطلاعات و اینترنت,N/A
بیت برگ,51,200,کامپیوتر، فناوری اطلاعات و اینترنت,N/A
دیجیتون,11,50,کامپیوتر، فناوری اطلاعات و اینترنت,N/A
اسنپ شاپ,201,500,کامپیوتر، فناوری اطلاعات و اینترنت,N/A
افرادرب,51,200,تولید و صنایع,N/A
آرکا تجارت,51,200,تولید و صنایع,N/A
موسسه آرمان پرشین خاورمیانه,51,200,آموزش، مدارس و دانشگاه‌ها,N/A
ماد امواج آریا,51,200,واردات و صادرات,N/A
