,company_name,company_url,0
0,,,نتواریوم
1,,,https://jobinja.ir/companies/netuarium
2,,,آدلاس
3,,,https://jobinja.ir/companies/adlas
4,,,کارگزاری هامرز
5,,,https://jobinja.ir/companies/hummers-broker-co
6,,,درنیکا
7,,,https://jobinja.ir/companies/dornica-4
8,,,بهینه سازان سرزمین هوشمند
9,,,https://jobinja.ir/companies/smart-land-optimizers
10,,,مرکز گسترش اینترنت اشیا ایران
11,,,https://jobinja.ir/companies/iran-iot-expention-center
12,,,سفرهای کیش
13,,,https://jobinja.ir/companies/safarhaye-kish
14,,,مینی کالا
15,,,https://jobinja.ir/companies/minikala
16,,,دیجیتون
17,,,https://jobinja.ir/companies/digitoon
18,,,موسسه آرمان پرشین خاورمیانه
19,,,https://jobinja.ir/companies/myarman-1
20,,,بیت برگ
21,,,https://jobinja.ir/companies/bitbarg
22,,,بامن
23,,,https://jobinja.ir/companies/baman-2
24,,,افرادرب
25,,,https://jobinja.ir/companies/afradoor-2
26,,,آرکا تجارت
27,,,https://jobinja.ir/companies/arka-tejarat
28,,,ماد امواج آریا
29,,,https://jobinja.ir/companies/madamvajariya
30,,,اسنپ شاپ
31,,,https://jobinja.ir/companies/snappshop
